window_start,window_end,camera_id,class_name,vehicle_count
2025-07-03T15:49:50.000+07:00,2025-07-03T15:50:00.000+07:00,camera_freeway_02,motorbike,73
2025-07-03T15:50:00.000+07:00,2025-07-03T15:50:10.000+07:00,camera_freeway_02,car,21
2025-07-03T15:50:00.000+07:00,2025-07-03T15:50:10.000+07:00,camera_freeway_02,motorbike,123
2025-07-03T15:50:00.000+07:00,2025-07-03T15:50:10.000+07:00,camera_freeway_02,truck,8
2025-07-03T15:49:50.000+07:00,2025-07-03T15:50:00.000+07:00,camera_freeway_02,car,5
2025-07-03T15:50:00.000+07:00,2025-07-03T15:50:10.000+07:00,camera_freeway_02,bus,9
